fund_id,fund_name,asset_family,method,method_label,start_date,end_date,observations,periods_per_year,average_period_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,total_return,maximum_drawdown,historical_var_95,historical_expected_shortfall_95,rebalance_count,average_rebalance_turnover,annualized_turnover,latest_rebalance_date,estimation_window,max_asset_weight,crypto_sleeve_cap,risk_free_rate,transaction_cost_bps,active_holdings,top_holding,top_holding_weight,top_holding_weight_pct,calendar_basis,sharpe_rank_within_family,risk_rank_within_family
equity_equal_weight,Equity Equal Weight,equity,equal_weight,Equal Weight,2021-01-04,2023-12-29,753,252,0.0005240213700195,0.1320533852449236,0.1264237978181746,0.1611798066658655,0.8192923665597729,1.1834771866761795,0.4272168148150317,-0.2024921015251165,0.0161647220702976,0.0223278256586558,36,0.0264826351925918,0.3190577243920232,2023-12-01,252,0.1,,0.0,0.0,50,ABBV,0.02,2.0,US equity trading-day calendar,1,3
equity_minimum_variance,Equity Minimum Variance,equity,minimum_variance,Minimum Variance,2021-01-04,2023-12-29,753,252,0.000256777307445,0.0647078814761455,0.0585488123924389,0.1249617425425351,0.5178215360922958,0.7372224561920062,0.1853278553257689,-0.1565525762827552,0.012917667364081,0.0172928214249301,36,0.1173717705309627,1.4140726457594874,2023-12-01,252,0.1,,0.0,0.0,22,MRK,0.1,10.0,US equity trading-day calendar,4,1
equity_maximum_sharpe,Equity Maximum Sharpe,equity,maximum_sharpe,Maximum Sharpe,2021-01-04,2023-12-29,753,252,0.0004399399180074,0.1108648593378682,0.1018697481201857,0.166300218967292,0.666654920999672,0.9354653589090216,0.3362546461423075,-0.1913006781749947,0.0166849906406729,0.0235554293630282,36,0.2431084965392933,2.928924675437542,2023-12-01,252,0.1,,0.0,0.0,12,GE,0.0999999999999939,9.99999999999939,US equity trading-day calendar,3,4
equity_risk_parity,Equity Risk Parity,equity,risk_parity,Risk Parity,2021-01-04,2023-12-29,753,252,0.0004169177885627,0.1050632827178023,0.0991101150900668,0.1452835316719493,0.7231603025388698,1.0375503014386287,0.3262794126954145,-0.1849315317223783,0.0150885881410228,0.0203538572223489,36,0.0309293906106206,0.3726313832928963,2023-12-01,252,0.1,,0.0,0.0,50,MRK,0.0415959760567672,4.15959760567672,US equity trading-day calendar,2,2
crypto_equal_weight,Crypto Equal Weight,crypto,equal_weight,Equal Weight,2021-01-01,2023-12-31,1095,365,0.0018594721661673,0.678707340651091,0.4050471763369501,0.8189033644058294,0.8288002835884545,1.1933459747134345,1.7737845161866814,-0.8157130881593324,0.0676339986305187,0.1000525338402244,36,0.0578414745991165,0.6940976951893983,2023-12-01,365,0.25,,0.0,0.0,10,ADA-USD,0.1,10.0,Native seven-day crypto calendar,3,4
crypto_minimum_variance,Crypto Minimum Variance,crypto,minimum_variance,Minimum Variance,2021-01-01,2023-12-31,1095,365,0.0022645523097579,0.826561593061664,0.698094832235671,0.7690772204153365,1.0747446044693447,1.583147802120373,3.896500699855622,-0.7281945700656334,0.0611303247531225,0.0920952031282647,36,0.1314325437119839,1.5771905245438067,2023-12-01,365,0.25,,0.0,0.0,8,BTC-USD,0.2499999999999999,24.99999999999999,Native seven-day crypto calendar,1,2
crypto_maximum_sharpe,Crypto Maximum Sharpe,crypto,maximum_sharpe,Maximum Sharpe,2021-01-01,2023-12-31,1095,365,0.0011905874241794,0.4345644098254835,0.1513039345263174,0.7634670093963575,0.5691986745688933,0.8099388950921366,0.5260542282962817,-0.8256287537978744,0.0598577025323935,0.0938134332558317,36,0.1970011220225662,2.3640134642707946,2023-12-01,365,0.25,,0.0,0.0,5,BTC-USD,0.2499999999999992,24.99999999999992,Native seven-day crypto calendar,4,1
crypto_risk_parity,Crypto Risk Parity,crypto,risk_parity,Risk Parity,2021-01-01,2023-12-31,1095,365,0.0018877278474831,0.6890206643313319,0.4429252482302241,0.7989396737389866,0.8624188871567228,1.2410520424135147,2.0042183757956935,-0.7987489193555738,0.065917714516014,0.0977823969148548,36,0.0624658314283982,0.7495899771407794,2023-12-01,365,0.25,,0.0,0.0,10,TRX-USD,0.15513608695095,15.513608695095,Native seven-day crypto calendar,2,3
combined_equal_weight,Combined Equal Weight,combined,equal_weight,Equal Weight,2021-01-04,2023-12-29,753,252,0.0006521306750572,0.16433693011443,0.1513526195518091,0.216003852443888,0.760805551637651,1.0770579816965895,0.5236892003153524,-0.2787245867171566,0.020832126654549,0.0316130493985776,36,0.0375013330301673,0.4518088887777937,2023-12-01,252,0.1,0.2,0.0,0.0,60,ABBV,0.0166666666666666,1.66666666666666,US equity trading-day calendar,2,4
combined_minimum_variance,Combined Minimum Variance,combined,minimum_variance,Minimum Variance,2021-01-04,2023-12-29,753,252,0.0002572568920724,0.0648287368022605,0.0586500665696705,0.1251612396102849,0.5179617667907257,0.7370784010883782,0.1856666809753882,-0.157776753619188,0.0131300666856194,0.0173979086030333,36,0.1185972908890077,1.4288374806707551,2023-12-01,252,0.1,0.2,0.0,0.0,23,KO,0.1,10.0,US equity trading-day calendar,4,1
