sector,trading_days,days_with_news,average_sector_sentiment,sentiment_volatility,average_ticker_coverage,average_daily_headlines,total_headlines,days_without_news,news_day_coverage
Comm,1006,997,0.10076044695147009,0.11938328212085861,0.7566600397614315,11.71272365805169,11783,9,0.9910536779324056
Consumer,1006,998,0.10107306186841344,0.08076507272752974,0.9391650099403578,25.722664015904574,25877,8,0.9920477137176938
Energy,1006,996,0.11128942392137493,0.11669266966251389,0.8441351888667993,19.249502982107355,19365,10,0.9900596421471173
Financials,1006,998,0.09793778840476185,0.10865229809892345,0.8749502982107357,18.160039761431413,18269,8,0.9920477137176938
Healthcare,1006,997,0.11005049224343062,0.1193960519471407,0.8357852882703778,14.609343936381709,14697,9,0.9910536779324056
Industrials,1006,998,0.10709666790126272,0.10968988363521381,0.7518886679920477,13.077534791252486,13156,8,0.9920477137176938
Materials,1006,940,0.09645334285665402,0.14121165285732687,0.5312127236580517,5.360834990059642,5393,66,0.9343936381709742
RealEstate,1006,940,0.13313343340853886,0.1577118297293559,0.5558648111332009,5.307157057654075,5339,66,0.9343936381709742
Tech,1006,1006,0.1193402475685077,0.10640401135240361,0.8646123260437375,26.473161033797215,26632,0,1.0
Utilities,1006,962,0.18427499011546175,0.16016819998628284,0.5928429423459244,6.28131212723658,6319,44,0.9562624254473161
